Gene Symbol	Number of perturbations	Anchor_arm_1_Avg_res	Anchor_arm_1_Avg_pval	Anchor_arm_2_Avg_res	Anchor_arm_2_Avg_pval
ABCD1	4	0.09191212320879999	0.941204454402	0.201797061487	0.883245895152
ABCD2	4	0.366238043416	1.29570275138	-0.25823089605599997	0.479531237316
ABCD3	4	-0.281555055916	0.5378873024409999	-0.499848078671	0.772567944349
ABCD4	4	-0.7059627173180001	0.923950675769	0.0616648784397	1.04329290858
ABCE1	4	-0.659591408079	0.959983002251	-0.922862357203	1.6003563228100002
ABCF1	4	-0.2287987046	0.726819378125	-0.431904498564	0.7407491705320001
ABCF2	4	-0.0982151570466	0.526923304367	0.0147860756544	0.750895004043
ABCF3	4	-0.544053856215	0.8815106495720001	-0.388040298391	0.6029771746989999
ABCG1	4	-0.29777130524	0.491297923927	-0.363606539223	0.5614038743509999
ABCG2	4	0.140516602761	0.8288852504399999	-0.156760307719	0.45534578853200003
ABCG4	4	-0.364120538157	0.514807928497	-0.0930869324197	0.503306404739
ABCG5	4	-0.15456768788	0.625027670282	-0.265782276063	0.854094514987
ABCG8	4	-0.091166218992	0.570723495781	-0.0690468335459	0.507668472799
ABHD1	4	-0.657149845566	0.9515585977050001	-0.30367687974199997	0.560800772185
ABHD10	4	0.08493435251380001	0.6972354070300001	-0.14105752964600002	0.49704473849200004
ABHD11	4	0.260321338931	1.0466952167499999	-0.316920606406	0.5175316237309999
ABHD12	4	-0.258905097665	0.48654995564099995	-0.119993553044	0.538887344466
ABHD12B	4	-0.379213628784	0.538091297609	-0.11705476872199999	0.500503099444
ABHD13	4	-0.42036268555	0.670733695764	-0.158401047099	0.471941527953
ABHD14A	4	-0.0102451188474	0.638410605162	-0.0758755536698	0.53129275522
ABHD14B	4	0.172557842843	0.840523900272	-0.0307000123911	0.7434744524690001
ABHD15	4	-0.687202664189	0.949730818408	-0.22768832040399997	0.492566897966
ABHD16A	4	-0.0135208243053	0.666348091985	0.306972312841	0.973803243415
ABHD16B	4	-0.428205912286	0.56435430667	-0.06457346659919999	0.5987998770499999
ABHD17A	4	0.326912173155	1.07913608124	-0.17482603318599998	0.468779874537
ABHD17B	4	-0.444478992545	0.6330647145480001	-0.35231524837800005	0.568995144239
ABHD17C	4	0.48722470968599996	1.35027834158	-0.48966812081699995	0.876821615913
ABHD18	4	-0.456792061015	0.640096109472	-0.145484007183	0.450714713419
ABHD2	4	-0.475231853619	0.603680940701	-0.448047901042	0.738560558403
ABHD3	4	-0.042777666165	0.6579965700029999	0.431000500044	1.42851880977
ABHD4	4	0.023300793180900004	0.643585370601	0.00781821437291	0.615925290295
ABHD5	4	-0.351013846219	0.545061426627	-0.034026307345099996	0.656437406937
ABHD6	4	-0.854697036831	1.26904226782	-0.34216883425300004	0.58453029313
ABHD8	4	-0.0910830496065	0.603828598994	-0.475930920814	0.718144654492
ABI1	4	-0.470554707094	0.609834923784	-0.326621746371	0.525358395004
ABI2	4	0.894110105674	2.08533515376	-0.216795591339	0.45833742571
ABI3	4	-0.158205476604	0.54355975202	0.165134999624	0.8664889188220001
ABI3BP	4	0.055163126721599995	0.663378211946	-0.28486627156800004	0.5825020595
ABL1	4	-0.41801089562399996	0.587070120561	-0.315248582783	0.581535466223
ABL2	4	-0.636309171369	0.893576562904	-0.408383198327	0.6702810366390001
ABLIM1	4	-0.07715138026889999	0.5751609939710001	-0.334602605894	0.541457742322
ABLIM2	4	-0.485692299382	0.64687148569	-0.131611678516	0.48073513430200004
ABLIM3	4	-0.46910821878200004	0.64797623685	0.261603179959	0.885293492983
ABO	4	-0.0563690471837	0.6830951538050001	-0.137390867745	0.560833378472
ABR	4	0.133409949404	0.760615400889	0.17342706033100003	0.846467347978
ABRA	4	0.0630187312384	0.8689264054279999	-0.150994875432	0.49084233185500004
ABRACL	4	-0.26827155058400004	0.466826358635	-0.44199181355899997	0.724066338806
ABRAXAS1	4	-0.024331110934000002	0.663717261202	-0.26769737248799996	0.55523471515
ABRAXAS2	4	-0.023992264152900004	0.6478493623789999	-0.058093100941399994	0.5492212960499999
ABT1	4	-0.185445663554	0.45843225141099997	-0.978503701157	1.9012110277599998
ABTB1	4	-0.985626951823	1.4317366973299999	-0.696943100125	1.1388648295100001
ABTB2	4	-0.582877217067	0.804498867834	-0.16279865975	0.450532168297
ACAA1	4	-0.540561123399	0.6878514297480001	-0.28166029414500005	0.511629405844
ACAA2	4	-0.136587175165	0.567998627303	-0.007343593967319999	0.611710415594
ACACA	4	-0.6077501234920001	0.835009232552	-0.246389885409	0.48274567655
ACACB	4	-0.242179774157	0.44074258168499997	-0.273407242971	0.502860738349
ACAD10	4	-0.533158533179	0.7833670408319999	-0.53617551262	0.865671083187
ACAD11	4	-0.301401887275	0.46140651597599996	0.112561618441	0.713589102592
ACAD8	4	-0.00390064401689	0.61557061647	-0.226431247196	0.530071607503
ACAD9	4	-0.401704927897	0.528083594557	-0.467248875927	0.732279211233
ACADL	4	0.261464898216	1.11975009676	-0.125524049197	0.467874698547
ACADM	4	-0.407473681429	0.548878901861	0.738156488654	1.78545499802
ACADS	4	0.23958406162300003	0.9236294196770001	-0.24934063698000003	0.541582906123
ACADSB	4	-0.69006035497	0.9030444485510001	-0.00394051490612	0.6494897086370001
ACADVL	4	-0.68541014073	0.9975057534790001	0.272297818685	0.943108383337
ACAN	4	-0.660272965279	0.845663779142	-0.24606990317	0.533411908394
ACAP1	4	0.5788091213750001	1.5646399184600002	0.39283967694899996	1.1603135954500001
ACAP2	4	-0.0913398126858	0.609779956867	-0.501716456158	0.828426049436
ACAP3	4	0.494479603664	1.27926916718	-0.363038925051	0.573745331519
ACAT1	4	-0.269291259546	0.516331474495	-0.166449312643	0.516514420575
ACAT2	4	-0.8937221220229999	1.2659726498000001	-0.25881445251699997	0.48840702074500003
ACBD3	4	-0.157503257049	0.591706437295	0.438239066425	1.34040924476
ACBD4	4	-0.04969477324990001	0.598162175895	-0.048818269003	0.621074083617
ACBD5	4	-0.113914855528	0.524568720841	0.0950238229782	0.768300948739
ACBD6	4	0.12704034561799998	0.778824333793	-0.362300467483	0.627811147516
ACBD7	4	0.08123701342560001	0.688840130942	-0.021864212815099995	0.575171134436
ACCS	4	0.0575505536839	0.7247393905339999	-0.180663392174	0.46256255667199997
ACCSL	4	-0.140730560105	0.530472020606	-0.07752582983339999	0.533940744933
ACD	4	-0.791333320605	1.26922355631	-0.616643809557	0.972658229567
ACE	4	-0.0481016644128	0.69170849428	-0.017745923978	0.68508389891
ACE2	4	-0.373672526338	0.510392726065	-0.43034173494499994	0.776776696355
ACER1	4	-0.591145917942	0.739754885683	-0.9086577627339999	1.6956159019600001
ACER2	4	-0.608556467587	0.7749218580670001	-0.175817371893	0.436076691011
ACER3	4	-0.0291713295161	0.607567591335	0.0438059836594	0.627955003468
ACHE	4	-0.965110455238	1.4988472979499998	-0.182093236582	0.43749438779
ACIN1	4	0.05897741544969999	0.7515120780329999	-0.14779872593499999	0.637570241513
ACKR1	4	-0.545473665999	0.6928202386460001	-0.19142848230300002	0.485097605107
ACKR2	4	-0.480254131501	0.678288459262	-0.312915680704	0.541435876973
ACKR3	4	-0.009594485252860002	0.6155549378040001	-0.170814046971	0.42953769160800004
ACKR4	4	0.06952407582839999	0.753780223429	-0.0503146168392	0.6285227607289999
ACLY	4	-0.390111780643	0.9558066473610001	-0.891622715356	1.5595350796599998
ACMSD	4	-0.23902998788000002	0.535991657301	-0.9207776247380001	1.6861127474899997
ACO1	4	0.0362265332466	0.72911238033	0.236630490854	1.20145947328
ACO2	4	-0.449595484906	0.582547764003	-0.554320828743	0.861205912475
ACOD1	4	-0.0850328607367	0.544265910545	-0.268382616131	0.5017234042140001
ACOT1	4	0.208960778888	0.8558983779000001	-0.06659531016	0.557138664677
ACOT11	4	-0.0482471380585	0.632461642794	0.507032418652	1.31746327916
ACOT12	4	-0.385560686265	0.560533163092	-0.6793650886920001	1.05024252927
ACOT13	4	0.321277172432	1.09085390228	-0.22687752292100002	0.45523242011500004
ACOT2	4	-0.043622760653999997	0.644546855769	-0.158121584264	0.504259854443
ACOT4	4	0.5278487681399999	1.3588966269	-0.251582540251	0.48518453102700004
ACOT6	4	-0.43489693439099997	0.6453675460939999	-0.279132200109	0.511330068027
ACOT7	4	-0.375260154547	0.5113793572609999	0.061309016561799996	0.630950230203
ACOT8	4	-0.503423128363	0.6463966110939999	-0.698539860167	1.07752506079
ACOT9	4	-0.40465373452799996	0.5746757610050001	0.142682118736	0.884606420323
ACOX1	4	-0.369842278995	0.504397617223	-0.440830038063	0.699983743099
ACOX2	4	-0.45996193623899995	0.6275614317189999	-0.208240988865	0.453624516259
ACOX3	4	-0.6256601713669999	0.819176244217	0.00855262135231	0.667336379075
ACOXL	4	-0.375552817458	0.582199935119	0.0826798339602	0.733681288845
ACP1	4	0.15251051548900002	0.7855346259460001	-0.367897833009	0.594976986965
ACP2	4	0.382613190877	1.04551678541	-0.346267478983	0.544715827512
ACP4	4	-0.337823820019	0.490223909744	-0.627557941672	1.11949883087
ACP5	4	-0.371553208185	0.537771780961	-0.0825278163688	0.570240920896
ACP6	4	-0.516107219672	0.663611440771	0.0186129681051	0.626530924012
ACP7	4	-0.379664733057	0.600571948891	-0.00911138436092	0.577754954309
ACPP	4	-0.566671290574	0.7508298830500001	0.0974337813442	0.7158487052249999
ACR	4	-0.264362727618	0.479810752355	0.162883280183	0.760617221778
ACRBP	4	0.24925435377500002	1.07884779374	0.241681914961	0.978032966657
